"name","type","summary","state","updated","lat","lng","size","url","id","contained"
"Kidder 2 Fire","Wildfire","Yreka, CA. – The Lime and Kidder 2 Fires were started by lightning...","CALIFORNIA","2019-09-12 12:01:00","41.508","-123.07","161 Acres","/incident/6576/","6576","32"
"Lime Fire","Wildfire","Yreka, CA. – The Lime and Kidder 2 Fires were started by lightning...","CALIFORNIA","2019-09-12 11:57:08","41.866","-122.67","1,862 Acres","/incident/6591/","6591","25"
"Ramshorn/SHF Lightning Fires 2019","Wildfire","The Ramshorn Fire is now 100% contained and had minimal fire behavior...","CALIFORNIA","2019-09-12 11:56:53","41.063","-122.638","280 Acres","/incident/6370/","6370","100"
"Whiskey Fire","Wildfire"," FLAGSTAFF, Ariz., Sept. 11, 2019 – The fire is burning...","ARIZONA","2019-09-12 11:50:09","35.044","-111.84","719 Acres","/incident/6580/","6580","5"
"Hunt Fire","Wildfire","The Hunt Fire ignited in Rio Blanco County, Colorado on Thursday,...","COLORADO","2019-09-12 11:49:21","39.753","-108.316","2,571 Acres","/incident/6583/","6583","20"
"Amole Fire","Wildfire","The Carson National Forest will be managing the lightning-caused...","NEW MEXICO","2019-09-12 11:48:02","36.2","-105.595","650 Acres","/incident/6589/","6589","0"
"Sheridan Fire","Wildfire","The Sheridan Fire is a lightning-caused wildfire that continues to...","ARIZONA","2019-09-12 11:29:03","34.678","-112.89","21,510 Acres","/incident/6522/","6522","60"
"Walker Fire","Wildfire","September 12, 2019: AM Update | Map | Daily Operations VideoCurrent...","CALIFORNIA","2019-09-12 11:12:43","40.053","-120.669","49,272 Acres","/incident/6568/","6568","28"
"R-6 Fire","Wildfire","This fire burned sagebrush, timber and range grasses about 22 miles...","CALIFORNIA","2019-09-12 11:03:06","40.74","-120.604","260 Acres","/incident/6575/","6575","100"
"Broder Fire","Wildfire","MONACHE MEADOWS IS OPEN TO RECREATIONISTS - PLEASE USE CAUTION AS...","CALIFORNIA","2019-09-12 11:01:40","36.151","-118.185","381 Acres","/incident/6523/","6523","70"
"Middle Fire","Wildfire","A community meeting is planned for Friday September 13 at the North...","CALIFORNIA","2019-09-12 10:29:56","40.887","-123.014","357 Acres","/incident/6588/","6588","0"
"Meadow Creek Fire","Wildfire","The Meadow Creek Fire was sparked by lightning on Sept. 8. It is...","UTAH","2019-09-12 10:24:38","38.873","-112.383","4,231 Acres","/incident/6587/","6587","90"
"Swan Lake Fire","Wildfire"," Lightning ignited the fire on June 5, 2019 in a remote area of the...","ALASKA","2019-09-12 10:19:27","60.631","-150.438","163,714 Acres","/incident/6387/","6387","37"
"Hungry Fire","Wildfire","The Hungry Fire started on September 9, 2019, at approximately 12:59...","NEVADA","2019-09-12 10:17:27","39.711","-119.743","305 Acres","/incident/6590/","6590","100"
"Taboose Fire","Wildfire"," The fire was quiet again last night and has not increased in size....","CALIFORNIA","2019-09-12 10:05:53","37.034","-118.345","9,385 Acres","/incident/6570/","6570","47"
"San Juan NF Prescribed Fire Program","Prescribed Fire","The Fall Prescribed Fire Program continues on the San Juan National...","COLORADO","2019-09-12 09:56:23","37.279","-107.882","0 Acres","/incident/6288/","6288","0"
"Neck Fire","Wildfire","The Neck fire started by lightning on September 5, 2019 in the Neck...","UTAH","2019-09-12 08:48:12","38.104","-113.158","19,151 Acres","/incident/6579/","6579","76"
"Gopher Fire ","Wildfire","The Gopher Fire is located in the Sky Lakes Wilderness, approximately...","OREGON","2019-09-12 08:36:27","42.715","-122.255","352 Acres","/incident/6582/","6582","15"
"Shady Fire","Wildfire"," The Shady Fire area received nearly an inch of rain over the...","IDAHO","2019-09-12 07:11:24","44.517","-115.019","6,286 Acres","/incident/6433/","6433","0"
"Cove Creek Fire","Wildfire","Fire managers continue to observe minimal fire activity; the fire is...","IDAHO","2019-09-12 07:09:03","45.328","-114.453","5,332 Acres","/incident/6495/","6495","85"
"South Fire","Wildfire","The South Fire burned active today in the Yolla -Bolly wilderness...","CALIFORNIA","2019-09-11 23:34:25","40.109","-122.789","3,185 Acres","/incident/6577/","6577","20"
"McKinley Fire","Wildfire","The McKinley Fire started near milepost 91of the Parks Highway on...","ALASKA","2019-09-11 21:49:33","62.031","-150.058","3,288 Acres","/incident/6534/","6534","95"
"Decker Fire","Wildfire","Decker Fire Update September 11, 2019 Current Situation: The Decker...","COLORADO","2019-09-11 21:36:59","38.409","-106.004","245 Acres","/incident/6592/","6592","0"
"Deshka Landing Fire","Wildfire","The Deshka Landing Fire began on August 17 about 5 miles southwest of...","ALASKA","2019-09-11 21:22:56","61.712","-150.176","1,318 Acres","/incident/6532/","6532","95"
"Henthorne Fire","Wildfire","The Henthorne Fire started Sept. 5, about 15 miles northeast of...","CALIFORNIA","2019-09-11 19:45:43","40.011","-123.152","244 Acres","/incident/6573/","6573","65"
"Fork Fire","Wildfire","The Fork Fire in the South Warner Wilderness is a full suppression...","CALIFORNIA","2019-09-11 18:54:05","41.427","-120.25","30 Acres","/incident/6585/","6585","0"
"Lava 18 Fire","Wildfire"," Final Lava 18 Fire Update Unless Significant Events Occur Grants, NM...","NEW MEXICO","2019-09-11 16:20:35","34.933","-108.05","2,070 Acres","/incident/6556/","6556","0"
"Bodine 1 Fire","Wildfire","The Bodine 1 Fire in Mitchell county was ignited from hunters in the...","CALIFORNIA","2019-09-11 14:19:46","32.178","-101.119","3,600 Acres","/incident/6581/","6581","100"
"Payette Fall Prescribed Fire 2019","Prescribed Fire","Please see the announcements tab for a summary of planned activity...","IDAHO","2019-09-11 13:35:16","44.911","-116.098","0 Acres","/incident/6530/","6530","0"
"204 Cow Fire","Wildfire"," The Cow Fire Area Closure Order has been changed. Refer to the...","OREGON","2019-09-11 13:30:55","44.284","-118.466","9,668 Acres","/incident/6526/","6526","73"
"McClusky Fire","Wildfire"," Fire managers will continue to monitor weather and changes in fire...","MONTANA","2019-09-11 10:03:29","46.014","-112.277","2,932 Acres","/incident/6524/","6524","0"
"Lone Fire","Wildfire","Containment of the 5,737 acre Lone Fire has reached 92-percent. No...","CALIFORNIA","2019-09-11 09:00:16","41.748","-121.056","5,737 Acres","/incident/6571/","6571","92"
"Red Feather Prescribed Burn","Prescribed Fire","September 10, 2019: Firefighters successfully burned 30 acres of the...","COLORADO","2019-09-10 20:09:32","40.852","-105.576","4,348 Acres","/incident/5027/","5027","0"
"Cow Fire","Wildfire","The lighting-caused Cow Fire is burning remotely in the Golden Trout...","CALIFORNIA","2019-09-10 17:29:47","36.284","-118.228","1,975 Acres","/incident/6529/","6529","30"
"Stink Water Fire","Wildfire"," The Stink Water Fire remains at 47 acres, is 68% contained with no...","WYOMING","2019-09-10 16:38:31","44.623","-109.754","47 Acres","/incident/6561/","6561","68"
"Fishhawk Fire","Wildfire"," Yesterday’s precipitation along with today’s predicted moisture...","WYOMING","2019-09-10 16:37:59","44.377","-109.881","11,171 Acres","/incident/6558/","6558","0"
"Nethker Fire","Wildfire","The Nethker Fire achieved 100% containment on September 3, 2019 -...","IDAHO","2019-09-10 11:55:07","45.246","-115.93","2,360 Acres","/incident/6496/","6496","100"
"Smith Knob","Wildfire","The Smith Knob Fire is burning approximately 7 miles northeast of...","IDAHO","2019-09-10 11:53:36","45.295","-115.536","874 Acres","/incident/6550/","6550","0"
"Middle Mamm Fire","Wildfire","The Middle Mamm Fire was started by lighting on July 28, 2019. It is...","COLORADO","2019-09-10 10:27:44","39.369","-107.788","265 Acres","/incident/6527/","6527","0"
"Tincup Fire","Wildfire","The Tincup Fire was discovered on July 30 approximately 30 miles...","IDAHO","2019-09-10 10:21:23","43.004","-111.288","267 Acres","/incident/6489/","6489","0"
"IPNF Backcountry Prescribed Fire 2019","Prescribed Fire"," Prescribed burning is part of the USDA Forest Service natural...","IDAHO","2019-09-10 10:21:19","47.978","-116.178","0 Acres","/incident/6476/","6476","0"
"Boone  Fire","Wildfire"," Final Update The Boone fire received substantial precipitation with...","IDAHO","2019-09-10 10:17:10","44.064","-110.947","117 Acres","/incident/6547/","6547","0"
"Trout Creek Prescribed Fire 2019","Prescribed Fire"," The area and trail closure has been rescinded as of Tuesday,...","MONTANA","2019-09-10 09:33:06","47.779","-115.778","0 Acres","/incident/6535/","6535","0"
"Apache Fire","Wildfire","The Apache Fire, is estimated at 150-160 acres, and was reported on...","NEW MEXICO","2019-09-10 07:22:22","33.915","-108.613","140 Acres","/incident/6572/","6572","0"
"Caribou Lake Fire","Wildfire","This will be the last daily update for the Caribou Lake Fire unless...","ALASKA","2019-09-09 20:00:18","59.914","-151.116","870 Acres","/incident/6539/","6539","100"
"Montoya Springs Fire ","Wildfire","The Montoya Springs Fire will transition to a Type 4 organization...","NEW MEXICO","2019-09-09 18:01:41","36.48","-106.391","2,950 Acres","/incident/6563/","6563","75"
"Shovel Creek Fire","Wildfire","The Shovel Creek Fire (#319) was started by lightning on June 21 and...","ALASKA","2019-09-09 17:49:11","64.987","-148.415","21,309 Acres","/incident/6400/","6400","54"
"Montana Creek Fire","Wildfire","The Montana Creek Fire started at 3:00 P.M. on 7-3-2019. Cause of...","ALASKA","2019-09-09 17:47:18","62.123","-149.987","367 Acres","/incident/6424/","6424","75"
"Oregon Lakes","Wildfire","Management of the Oregon Lakes Fire was transferred back to the BLM...","ALASKA","2019-09-09 17:44:35","63.906","-146.002","34,499 Acres","/incident/6308/","6308","70"
